name_broker,zipcode_broker,description_broker,score_broker,number_reviews_broker,number_houses_for_sale_offered,number_houses_sold_last_12_months,url
Edwin van Vilsteren Makelaars,8011 VM,"Edwin van Vilsteren makelaars is een ambitieus makelaarskantoor uit Zwolle met enthousiaste medewerkers, dat staat voor kwaliteit. Dankzij onze jarenlange ervaring in de woningmakelaardij hebben wij een uitstekend zicht op de Zwolse woningmarkt.Wij nemen alle tijd die nodig is om aan uw woonwensen te voldoen, stemmen onze kennis hierop af en gaan accuraat en daadkrachtig te werk.  We zijn een flexibel kantoor en kunnen daardoor u als aspirant (ver)koper alle aandacht geven die nodig is. Wilt u een huis kopen, verkopen of taxeren? Bij Edwin van Vilsteren makelaars bent u aan het juiste adres.Tevens kunnen wij u helpen bij het zoeken naar een juiste en passende hypotheek voor uw nieuwe woning.Ons kantoor is gevestigd in het centrum van Zwolle aan de Thorbeckegracht 21, vanzelfsprekend staat de deur altijd voor u open.  Voor meer informatie en het meest actuele woningaanbod kunt u een bezoekje brengen aan onze website: www.evvmakelaars.nl.  Voor vragen kunt u ons e-mailen (info@evvmakelaars.nl) of bellen (038-4607690).",9.0,300,54,187,https://www.funda.nl/en/makelaars/kantoor/zwolle/22204-edwin-van-vilsteren-makelaars/
Van der Giessen & Van Herk Makelaardij,2981 HA,"Een nieuw kantoor, een schat aan ervaringVan der Giessen & Van Herk Makelaardij mag dan een relatief nieuwe naam zijn: we hebben gezamenlijk een schat aan kennis en ervaring. Richard van der Giessen heeft jarenlange ervaring in de makelaardij en die wordt vermenigvuldigd met de kennis en expertise van Van Herk Makelaardij. Het werkgebied van Van Herk, met vestigingen in Capelle, Gouda en Krimpen sluit naadloos aan bij de regio die Van der Giessen zeer bekend is: Barendrecht, Rotterdam, Zuidland, Oud Beijerland, Nieuw Beijerland, Zwijndrecht, Ridderkerk, Dordrecht, Nieuw Lekkerland, Alblasserdam, Kinderdijk, Papendrecht, Hendrik Ido Ambacht, Drechtsteden, Albrandswaard en de Alblasserwaard.Wij ontvangen u graag bij ons op kantoor aan de  te Ridderkerk ",8.9,89,51,148,https://www.funda.nl/en/makelaars/kantoor/ridderkerk/15484-van-der-giessen-en-van-herk-makelaardij/
Van Rossum Makelaardij,3241 AA,"Door innovatie, persoonlijke aanpak en door de markt actief te benaderen zorgen wij ervoor dat kopers en verkopers elkaar snel ontmoeten. Kenmerkend voor onze klantgerichte werkwijze is de verstrekkende dienstverlening. U kunt altijd bij ons binnenlopen, ook als u nog geen vastomlijnde koop- of verkoopplannen heeft.Aankopen, verkopen, taxaties (o.a. NWWI) of een gratis waardebepaling? Neemt u eens contact op voor de mogelijkheden!",8.8,127,83,111,https://www.funda.nl/en/makelaars/kantoor/middelharnis/15370-van-rossum-makelaardij/
Rijnpoort Makelaars,2295 KH,"Rijnpoort Makelaars staat al 50 jaar bekend als een betrouwbare partner bij het verkopen, aankopen en taxeren van woningen en bedrijfsonroerend goed. Met uiterste zorgvuldigheid zorgen onze goed opgeleide en gemotiveerde medewerkers dat uw (woon)wensen in vervulling gaan. Bij Rijnpoort Hypotheken en Verzekeringen kunt u terecht voor een vrijblijvend en  onafhankelijk hypotheek- of verzekeringsadvies.Het team van Rijnpoort Makelaars staat voor u klaar!U bent bij ons aan het juiste adres voor:",9.0,366,49,171,https://www.funda.nl/en/makelaars/kantoor/kwintsheul/8635-rijnpoort-makelaars/
Gaba Makelaardij Westervoort,6931 EV,"GABA, Goed Geregeld!Bijna iedereen krijgt vroeg of laat te maken met de koop of verkoop van een woning. Toch gaan we er vanuit dat dit nooit ‘alledaagse kost’ voor u zal worden. Reden te meer om u goed te laten begeleiden.GABA Makelaardij is in de afgelopen jaren gegroeid tot één van de grootste kantoren in de regio Arnhem, de Liemers en omgeving. 'Het geheim' hierachter is een reële kijk op de woningmarkt en een actieve instelling. Niet afwachten, maar mogelijkheden zoeken en doorpakken!Naast de duidelijke en persoonlijke werkwijze die onze gehele organisatie kenmerkt, proberen we onze werkwijze blijvend te vernieuwen. De omstandigheden op de woningmarkt en daarmee de vragen van consumenten veranderen immers ook constant!Bent u van plan bent om uw woning te verkopen? Dan wisselen we graag eens met u van gedachten. Natuurlijk draait de woningmarkt in de meeste segmenten weer goed en zijn woningen weer 'gemakkelijk' te verkopen, maar haalt u er ook het maximale uit?! Wij gaan niet voor een snel of gemakkelijk succes, maar willen er het maximale voor u uithalen. Uw woning is waarschijnlijk uw meest kostbare bezit en dat verkoop u niet vaak. Zoals gezegd willen wij er het maximale voor u uithalen, daarin zijn wij in 2017 meer dan 450 keer succesvol geweest!Wilt u een woning kopen? Ook dan wisselen we graag eens met u van gedachten over wat wij voor u kunnen betekenen. De vragen van klanten verschillen enorm. Misschien bent u wel bouwkundig onderlegd. Wellicht bent u bekend met koopaktes en andere juridische zaken of bent u prima in staat om zelf een onderhandeling te voeren. Het kan echter erg prettig zijn om op enkele (of alle) punten toch begeleid te worden en dat kan u vanzelfsprekend veel voordeel opleveren. In 2017 hebben wij meer dan 50 woningen succesvol aangekocht.Naast onze dienstverlening op het gebied van de makelaardij kunnen wij u ook van dienst zijn op het gebied van hypotheken, verzekeringen en bancaire zaken.Wat is de kracht van GABA?We horen graag wat wij voor u kunnen betekenen. GABA, Goed Geregeld",8.9,217,35,175,https://www.funda.nl/en/makelaars/kantoor/westervoort/2171-gaba-makelaardij-westervoort/
Thoma Post Makelaars Lochem,7241 DH,"Onze makelaars zijn er voor u. Met meer service, meer ervaring, meer advies en bovenal meer kwaliteit. Dat is waar wij voor staan en dat is wat u van ons mag verwachten! We zeggen niet voor niets: “Makelaars met meer...”.Het zijn echter niet alleen de kwaliteiten of de activiteiten die ons onderscheiden. Thoma Post Makelaars heeft ook meer aanbod; meer woningen en meer nieuwbouwprojecten zorgen voor een meer plezierige zoektocht naar uw droomhuis. Voor het nemen van de juiste beslissingen tijdens het (ver)koopproces kunt u gebruik maken van ons 8-stappenplan, waardoor het soepel, rustig en nauwkeurig verloopt, hierdoor weet u precies waar u aan toe bent. Dat is wel zo prettig!U kunt ons vinden in Amsterdam, Apeldoorn, Deventer, Enschede, Gorssel, Hengelo, Lochem, Winterswijk en Zutphen. Onze makelaars op deze locaties zijn gespecialiseerd in kopen, verkopen, aankopen, huren, verhuren, beleggen, hypotheken, nieuwbouwprojecten, verzekeringen, certificeren en taxeren. Hopelijk tot ziens!",9.0,243,43,159,https://www.funda.nl/en/makelaars/kantoor/lochem/3042-thoma-post-makelaars-lochem/
Brix Makelaars - Voorburg,2274 BW,"Uw succes is ons belang. Met een frisse blik op de vastgoedmarkt staan wij voor: service, deskundigheid, vernieuwing en gaan we altijd optimale resultaat.Service is voor ons een serieuze zaak: als u tevreden bent, dan zijn wij dat immers ook. Persoonlijke betrokkenheid en betrouwbaarheid staan daarbij voorop. Tevens zijn ervaring en deskundigheid op alle vastgoedgebieden essentieel, maar daarnaast vinden wij het ook belangrijk om te blijven vernieuwen. Want andere tijden vragen om een andere aanpak! Zo behalen wij voor u het beste resultaat.Brix makelaars is gevestigd in Voorburg en in Den Haag (Leidschenveen). Naast deze gemeentes zijn wij tevens actief in Leidschendam, Rijswijk, Wassenaar, Nootdorp, Zoetermeer en Delft.",9.3,152,31,211,https://www.funda.nl/en/makelaars/kantoor/voorburg/8653-brix-makelaars-voorburg/
Dupont ERA Makelaars,3112 AS,"Al ruim 100 jaar is de naam Dupont ERA Makelaars een begrip en vertrouwd gezicht in de regio, een gebied dat zij als geen ander kent. Een ervaren team van deskundig opgeleide medewerkers staat voor u klaar om u die zekerheid voor succes te geven die u mag verwachten. Dupont ERA Makelaars staat u ten dienste voor zowel de particuliere huizenmarkt, als voor bedrijfsonroerendgoed, projectontwikkeling, uitpondprojecten (het te koop aanbieden van huurwoningen aan de huurders en huurwoningen die leegkomen op de vrije woningmarkt aanbieden), taxaties, financiële dienstverlening en verzekeringen verzorgd door onze collega`s van De Hypotheekshop. Dupont ERA Makelaars is lid van ERA, een organisatie die borg staat voor continue kwaliteit en betrouwbaarheid.  Door voortdurend actief te zijn op vele gebieden en daar een volwaardig gesprekspartner te zijn voor zowel de particuliere als de zakelijke markt houdt Dupont ERA Makelaars de kwaliteit van haar dienstverlening continu op een zeer hoog niveau.De makelaars-taxateurs die zijn ingeschreven in de kamer Wonen-MKB Vastgoed van VastgoedCert, verzorgen de woning en MKB taxaties en het NWWI taxaties. Om sinds het vervallen van de wettelijke beëdigingplicht de kwaliteit van makelaars en taxateurs o.z. te kunnen blijven waarborgen, is in 2004 de Stichting VastgoedCert opgericht. Dit is een branche breed platform dat gecertificeerde makelaars en taxateurs in onroerende zaken registreert op basis van hun vakbekwaamheid.",9.6,136,34,171,https://www.funda.nl/en/makelaars/kantoor/schiedam/15098-dupont-era-makelaars/
De Witte Garantiemakelaars Vlaardingen,3131 BK,"Op ons kantoor werkt een team van gemotiveerde en enthousiaste medewerkers die kennis hebben van de lokale en regionale onroerend goed markt. Allen hebben ervaring én een gedegen opleiding in de makelaardij, wat maakt dat zij u op een professionele en klantgerichte manier begeleiden bij de aan- of verkoop van uw woning.In is De Witte Garantiemakelaars actief op vele disciplines op het gebied van onroerend goed. Naast een jarenlange ervaring, waarborgt het NVM-lidmaatschap en onze onderscheidende werkwijze als Garantiemakelaar een uitstekende basis voor een succesvolle dienstverlening.Naast het  en  van woningen in de bestaande bouw, zijn wij ook actief op het gebied van nieuwbouw en wordt ons kantoor- al in het beginstadium van ontwikkeling - betrokken bij nieuwbouwplannen in de regio. Daarnaast kunt u bij ons terecht voor taxaties.Misschien bent u op zoek naar uw droomhuis, heeft u een woning op het oog, bent u geïnteresseerd in onze nieuwbouwplannen, een hypotheekadvies of denkt u eraan om uw eigen woning te verkopen. Belt u dan gerust met ons kantoor voor een .  Vooraf leggen wij u uit wat De Witte Garantiemakelaars voor u kan betekenen. Onze dienstverlening bij het verkopen van een huis kenmerkt zich dan ook door openheid. In uw Verkoop Zeker Plan leggen wij zwart op wit vast welke afspraken wij met u hebben gemaakt; hier mag u ons aan houden.",9.1,176,33,169,https://www.funda.nl/en/makelaars/kantoor/vlaardingen/15088-de-witte-garantiemakelaars-vlaardingen/
Petra De Kleermaeker Makelaardij,6814 GH,"Een huis koop je op gevoel. Maar ook gevoel eist  en .  Wie zich teveel laat leiden door emotie, verliest de realiteit uit het oog. Die realiteit wordt bepaald door factoren als vraagprijs, ligging, onderhoud en marktwaarde van de door u begeerde woning. Deskundig en persoonlijk advies zijn onmisbaar om die realiteit op waarde te schatten. .  Via een vrijblijvend kennismakingsgesprek op onze vestiging aan de Amsterdamseweg 124 in Arnhem, wordt u ontvangen door iemand van ons team.Een van onze makelaars gaat vervolgens op zoek naar een woning die aan uw wensen en eisen voldoet. U wordt dagelijks geïnformeerd over het huizenaanbod dat bij u past.Bij de zoektocht wordt u nauw betrokken. Ook neemt de makelaar geregeld contact met u op.Als de gepaste woning is gevonden, gaan wij over tot bemiddeling en onderhandeling. Wij begeleiden het hele traject: van bezichtiging en onderhandeling tot aan sleuteloverdracht bij de notaris.  Het verkopen van een woning is een specialisme. Zaken als marktwaarde, hoe wordt de juiste koper bereikt, wat is de beste verkoopmethode en hoe zit het met nazorg (aansprakelijkheid van de bouwkundige staat, milieu-eisen), zijn bij ons in goede handen.Om zoveel mogelijk potentiële kopers te bereiken, wordt uw woning opgenomen in het totale aanbod van alle bij de NVM aangesloten makelaarskantoren in de regio. Er worden bovendien professionele foto's gemaakt van buiten- en binnenkant. Wij geven advies hoe u uw huis zo goed mogelijk kunt presenteren.In nauw overleg met u worden afspraken voor bezichtigingen gemaakt. Tijdens de bezichtiging zullen wij aanwezig zijn om de potentiële koper alle informatie te geven over uw huis. Wij informeren u na elke bezichtiging.Wij bemiddelen voor u en nemen de gehele afhandeling voor onze rekening. Van roerende zaken tot eigendomsoverdracht bij de notaris.Wilt u meer informatie over de verkoop van uw woning, laat u dan vrijblijvend informeren door één van onze makelaars.  Een taxatie biedt zowel koper als verkoper duidelijkheid. Een juiste waardebepaling voorkomt teleurstellingen en geeft een sterke onderhandelingspositie. Als erkend makelaar taxeren wij in Arnhem en omstreken voor particulieren en bedrijven. Wij kennen de markt en weten wat er speelt. Wij nemen de tijd voor een correcte en betrokken afhandeling. U kunt rekenen op een zorgvuldige en overzichtelijke rapportage van het getaxeerde onroerend goed. Ook voor NWWI-taxaties kunt u bij ons terecht",9.1,225,26,171,https://www.funda.nl/en/makelaars/kantoor/arnhem/2169-petra-de-kleermaeker-makelaardij/
AMB Makelaars Drunen - Vlijmen - Heusden I Qualis,5151 JJ,"AMB Makelaars is een grote speler op de woningmarkt in ’s-Hertogenbosch, Vught, Rosmalen, Drunen, Vlijmen en de directe omgeving hiervan. AMB makelaars blijft zich continue ontwikkelen op het gebied van verkooppresentatie en marketing, hierdoor blijven we onze collega's voor. Daarnaast zijn we zeer actief in het opbouwen van een kwalitatief goed woningzoekersbestand. Dit zorgt voor een goede verkoopsnelheid in combinatie met hoge verkoopprijzen. Bij AMB makelaars staat de opdrachtgever centraal. Wij streven in onze dienstverlening naar een grote mate van deskundigheid, openheid en integriteit.AMB Makelaars is lid van de Nederlandse Vereniging van Makelaars (NVM) en lid Qualis. Qualis is marktleider als het gaat om onroerend goed in het midden en hoog segment in Nederland. Daarnaast is AMB makelaars aangesloten bij VastgoedCert en het Nederlands Woning Waarde Instituut (NWWI).Vanuit onze kantoren in 's-Hertogenbosch, Drunen en Vught zijn we u graag van dienst voor snelle verkoop, aankoopbegeleiding, taxaties en financieel advies.Bel ons voor een gratis waardebepaling.",9.7,37,30,172,https://www.funda.nl/en/makelaars/kantoor/drunen/11253-amb-makelaars-drunen-vlijmen-heusden-i-qualis/
Remko Stevens Makelaardij BV,6671 CG,"Graag laten wij u kennis maken met ons kantoor, Úw NVM-makelaarskantoor voor de Betuwe en omgeving. Wij zijn een jonge onderneming met passie voor het vak. Remko Stevens, 39 jaar jong en sinds 2008 NVM-makelaar / taxateur.Ons kantoor is opgericht in de zomer van 2015 en dus een nieuwe speler op de woningmarkt. Met meer dan 15 jaar ervaring in de makelaardij zien wij juist nu volop kansen en mogelijkheden om ons kantoor tot een succes te maken. Met onze eigen creativiteit en pro-actieve aanpak hopen wij ook u van dienst te kunnen zijn. Wat makelaars allemaal voor u kunnen doen, weet u waarschijnlijk wel. Het gaat er om hoe ze het doen. Is er aandacht voor uw specifieke wensen? Krijgt u heldere adviezen? Wordt u vriendelijk en snel geholpen? Als al die punten voor u tellen, dan is Remko Stevens Makelaardij de aangewezen partner.Wanneer u plannen heeft om uw woning te verkopen of een woning aan te kopen, dan is dat vaak een emotionele beslissing, waar veel bij komt kijken, zowel op financieel, bouwkundig als op juridisch gebied. Wij bekijken onze opdrachten niet alleen van de zakelijke kant, maar ook de sociale aspecten hebben onze aandacht. We zijn alert op nieuwe trends en vertalen dit in onze werkwijze. Een standaard aanpak is niet genoeg. Wij hebben oog voor de kenmerken die een huis aantrekkelijk maken. Daarbij zetten wij alle commerciële middelen en kanalen in om ons doel te bereiken. Kortom, onze expertise betekent uw gemak. Het is ons plezier en onze kracht om een uitdaging te accepteren teneinde tot een optimale dienstverlening te komen, van begin tot het einde en zelfs daarna nog!Wilt u meer weten over ons kantoor en onze dienstverlening? Neem dan contact op met ons kantoor of loop eens binnen voor een vrijblijvende afspraak. Wij komen graag bij u thuis op het tijdstip dat het u uit komt.",9.3,268,45,158,https://www.funda.nl/en/makelaars/kantoor/zetten/13173-remko-stevens-makelaardij-bv/
